width,height,megapixels,original_kb,brightness,contrast,complexity,sharpness,minimum_similarity,network_mbps,max_attachment_kb,intended_use,target_quality
3260,2254,7.34804,2027.32498273379,212.84827830930303,28.168625406561453,6.682670790170977,3073.9245670211135,0.9626683626007861,10.0,250.0,High-quality archive,72.47454074809845
3843,1204,4.626972,1969.9299301201852,95.02651984785066,76.76099456887904,57.25622357975641,2646.921215672285,0.8351146668898424,5.0,2048.0,High-quality archive,67.85889334282622
424,3772,1.599328,427.5855030361343,58.32400715818234,81.4890137699925,15.569313963208511,1295.9147416962867,0.9599299265339942,5.0,250.0,Website,64.00415254310558
1303,3992,5.201576,3557.5714179597667,130.14082537844504,26.511800204100062,4.142775592072526,1646.1094084920442,0.8410915548458433,0.256,2048.0,Cloud storage,41.77374724189025
1764,2222,3.919608,2060.6539002018458,145.41215575197145,30.98205213280461,68.93821114694555,5022.0795508298215,0.8409692402491701,5.0,1024.0,Mobile sharing,46.41557905137152
969,691,0.669579,201.90535673357422,127.83096861679134,68.0291370210866,81.36110707785153,2040.8012768302824,0.9679693486899243,1.0,250.0,Website,74.5908717192553
1081,2682,2.899242,551.9041143677307,61.664523442143405,48.5291455453043,82.2310167957409,4192.495744978891,0.9486977464980753,10.0,1024.0,Mobile sharing,63.14153911535892
2549,3449,8.791501,1689.8326773246747,192.59143682771992,78.74536706601293,22.076540841247564,3738.8486546634217,0.9169625313120017,10.0,5120.0,Mobile sharing,60.706957133204554
1733,1885,3.266705,1121.4105147455225,115.91759641096688,67.15448204639793,74.13423180369064,3204.5833304302832,0.857865978079613,0.256,5120.0,Email,60.198132260640975
3831,3852,14.757012,2478.271174952493,147.94239611372583,26.69385953541586,70.62246361741998,2206.825983772317,0.8430195092753828,10.0,5120.0,Mobile sharing,50.171798137053635
1116,1424,1.589184,345.742291400191,56.943112096417444,16.6918413069152,7.542423551469329,1263.7582230041762,0.9145830105777554,0.256,1024.0,High-quality archive,65.85559791492122
3531,3381,11.938311,4985.1993713817255,201.25093902457562,83.09053014577648,6.56495508504894,1311.4139466958422,0.8578791793767033,0.256,500.0,Website,42.334269569574914
4764,1898,9.042072,1429.3241602487053,105.9866863073186,56.90023589741098,11.33709603810471,5842.53694883049,0.9679746990428899,0.256,2048.0,Mobile sharing,59.89079686154279
855,3282,2.80611,1931.6006570254808,187.38491725198278,77.35820326170631,55.68362863163491,5464.024664317996,0.8415283533461035,10.0,1024.0,High-quality archive,68.08330964468028
4848,3487,16.904976,6657.105815858959,108.16700425906716,66.1650616989688,24.849992035069377,1021.3904561300002,0.8867022989751816,1.0,2048.0,Email,59.72572335817196
1469,2218,3.258242,1031.7955475861168,107.09817514811651,69.85946763647563,27.343870914845393,6644.562590671616,0.9666156831261085,10.0,1024.0,Website,71.28840176276512
2518,2327,5.859386,3595.784945401799,158.9915947064194,79.35134623576619,46.683226637390696,4448.7775234099645,0.9375829059696466,1.0,250.0,Mobile sharing,55.640833935804764
1331,2211,2.942841,604.1611881215683,151.73215070296476,22.60765985839477,62.508681518257006,637.2278708234657,0.9697503716321001,5.0,250.0,High-quality archive,84.94588710245787
1179,3283,3.870657,1813.0108716261832,183.6985798796139,78.60918711864687,80.57421915102108,1811.014309182351,0.8352078716103042,5.0,1024.0,Cloud storage,59.707644554782256
3234,865,2.79741,1276.4173212301562,123.5371790664332,56.81054204104982,65.64171798054021,5604.750779758863,0.8987445144920686,0.256,1024.0,Email,60.45213943566831
4287,831,3.562497,700.9178382588142,51.664712263046,67.62906280324222,37.325880664811116,5431.5338421858105,0.8733820413325181,5.0,2048.0,Website,54.76756681260248
4532,2684,12.163888,4106.400261363766,94.74359623880994,27.608931889999972,15.118236548459715,6556.085870461421,0.8900646459518005,5.0,500.0,Website,49.81839897778498
1209,2390,2.88951,1917.4782364206746,183.25728384278452,53.349565129963224,33.86147682542775,6907.089237224038,0.9721911456006146,5.0,1024.0,Mobile sharing,68.65772013451223
945,3560,3.3642,671.1422788453418,146.76901999415193,69.88770920843591,4.008820242865433,3207.5098348001384,0.9520639217914113,1.0,500.0,Cloud storage,67.40479436058185
1850,1992,3.6852,1113.2938090780058,209.5039601479553,77.50352283452128,12.068249701681061,6979.390871971133,0.8654253500582462,10.0,2048.0,Mobile sharing,45.42479442784189
4249,2796,11.880204,6052.254684840141,158.52375295617142,22.23525815873062,76.55673870952327,251.54654727106248,0.8585324892865834,1.0,250.0,High-quality archive,65.07879071129398
4118,1113,4.583334,2974.876134421964,159.69111747222314,17.893016839575697,3.445246398553438,409.02252325007254,0.9482370897375064,5.0,5120.0,High-quality archive,70.58036233973357
1497,1281,1.917657,1124.8005561892735,211.2811317327333,76.76867192835044,60.24590428624825,5873.962519654912,0.8264242079275306,1.0,500.0,Mobile sharing,46.480707278152884
2922,2668,7.795896,4795.604315582513,64.49046856380727,73.76968735481293,18.829402251250137,1931.7733216587117,0.9768327655837891,5.0,2048.0,Mobile sharing,65.8126531508937
3213,652,2.094876,322.90379783247084,202.98768515969527,71.76626280804966,17.196483406645264,687.4609904781765,0.849365316620851,1.0,5120.0,Cloud storage,53.59462770394287
2897,3222,9.334134,4599.420244052544,143.7584984921411,26.610420373203976,80.57400519176379,2144.3312959772898,0.9319641511342506,5.0,500.0,Email,66.97574375829306
3386,968,3.277648,1375.8290017851314,111.76653424074553,52.93349835860945,12.775837148215059,981.957538615719,0.8644920873250012,0.256,500.0,Mobile sharing,36.46161940790916
4013,2599,10.429787,5128.728825642169,113.24407035125834,47.702648754295765,20.845539189150884,4138.728426442607,0.8257695734843782,1.0,500.0,Cloud storage,49.247413039251036
2324,932,2.165968,988.3334117585262,142.49666108206497,71.16017448882971,56.13177554049922,4584.409742821169,0.8705942642918468,0.256,2048.0,Website,54.53565573933426
1306,1953,2.550618,1241.7100002043628,103.52489354554831,56.01913956854066,63.409866455542065,6210.500062729769,0.9005812680292958,10.0,2048.0,Mobile sharing,53.90488706345058
2793,1285,3.589005,2179.6312566599095,128.88691283831045,24.26853794682147,8.908850059981383,5901.852816724268,0.8288908667051004,0.256,500.0,Website,30.0
2642,1022,2.700124,834.1202021086392,176.11158767776627,16.17462748480566,70.8282208106963,6003.00876384318,0.8445780638497016,1.0,500.0,Email,51.57139500031517
3163,2229,7.050327,4768.1688150655855,224.13824979089105,76.76839130836684,28.49884381350283,4829.2720917043425,0.932865018477442,10.0,500.0,Website,56.992186611971334
1934,438,0.847092,211.06386998019326,134.7667775637796,28.10010434066367,16.60436316587576,5862.314819324153,0.9089551084845517,10.0,500.0,High-quality archive,73.17662677093236
4259,2743,11.682437,4503.579458301084,109.58881600996477,21.4039426916948,64.93707416916905,3064.764239892021,0.8950923094704641,10.0,250.0,Mobile sharing,45.9552024742369
1522,3665,5.57813,867.1202009276537,79.24193413930419,38.36474642516227,43.196198476930086,4125.793952452832,0.8334584535291011,1.0,500.0,Cloud storage,53.53186923871537
1520,3474,5.28048,2640.318988464229,162.33861851675744,76.03224152316233,7.764895501158682,2597.928275281656,0.9063243896418686,10.0,500.0,Cloud storage,57.515673905794365
1923,2137,4.109451,2334.651957194918,196.88294820742212,55.383318632279845,77.58328399745069,4130.511386732015,0.8744945272946438,10.0,1024.0,Mobile sharing,51.48044138772169
2694,2261,6.091134,2175.6003528823394,209.29415778481845,65.46657922917939,17.555539759831333,2405.0466674867544,0.8506564815460319,1.0,250.0,Mobile sharing,32.8505307753664
3577,2013,7.200501,2198.2768900055376,148.71066639596995,15.585156503441251,25.797812741266736,4936.082586607304,0.9770889516068056,5.0,5120.0,Email,75.30202258843762
3253,3945,12.833085,8276.016567356772,171.9322298764868,92.05689788395037,67.12442400053052,6074.269995920389,0.8382566513893819,5.0,2048.0,Cloud storage,54.28197678209767
3388,2391,8.100708,4073.3468341484113,219.26487217405818,93.76624651452997,26.634716130008233,5149.586807193517,0.8754388578100878,5.0,250.0,High-quality archive,61.011449019798135
969,2229,2.159901,883.6778183685437,222.25263220403596,52.197876495492245,83.1891922840549,2910.4532152487163,0.9469891440895956,5.0,250.0,Cloud storage,76.72731094259736
2885,3287,9.482995,6231.085883440585,191.29078721731202,17.957658176093936,33.5615919871522,388.4543825812663,0.9280489005867975,0.256,2048.0,Website,59.203380975155056
3680,429,1.57872,870.6260913105442,187.1656025002601,18.91709678586234,22.231882336186484,4372.189524957958,0.9573000487399717,1.0,250.0,High-quality archive,79.5857908830087
1609,2838,4.566342,670.686754476854,111.2575559351437,86.65079051069574,58.072250326180416,1701.7256253561513,0.8756850277455223,10.0,2048.0,Email,62.10694489978294
4325,2954,12.77605,4551.542406953338,87.21675964346274,85.92460497374954,18.38268191903829,639.4405590885535,0.8747083101673057,1.0,2048.0,Email,61.39701545371783
2854,3995,11.40173,3408.277789082969,112.50897071494362,25.945702242370103,50.13949822908875,6983.181258977274,0.9152340544661395,5.0,250.0,High-quality archive,70.6355586007445
2204,1190,2.62276,541.8337343697501,104.42190800783536,20.37333350782135,19.562281090480088,172.79802794938982,0.8925247866400261,10.0,2048.0,Email,58.69747194906722
2468,1913,4.721284,3195.1255737436563,177.87299309923395,58.2685309555961,26.33235175916967,6284.127751472317,0.8720548368826683,0.256,5120.0,Website,47.17200761748211
4581,3942,18.058302,8428.252561824162,159.15344971180406,38.95066332118604,22.792509053386357,2291.3218128222234,0.8448706502533475,1.0,5120.0,Cloud storage,59.39523586772234
678,2421,1.641438,954.3737823794677,183.92658078138558,50.07090068673543,42.053099304111505,6963.177155098422,0.9503421508988612,5.0,2048.0,Email,69.43671753202139
4551,2092,9.520692,4288.474972177777,54.35988988976352,67.23377012511988,81.3386531114005,3613.4878468857737,0.8892755988588428,0.256,250.0,Mobile sharing,40.63171521803692
3800,770,2.926,448.89253339568984,81.7526561859383,20.242434713470594,40.31966307776451,3636.8102187369313,0.8281536772119817,1.0,5120.0,Cloud storage,52.02069004325646
913,3199,2.920687,1542.0296934197913,74.33390288971427,39.16572550269108,35.318313728604,2945.4369498305778,0.820265713227968,1.0,250.0,Mobile sharing,30.0
1147,404,0.463388,194.46327316498744,128.00538123636954,41.647532880851024,38.36881565200887,5475.038905809761,0.86165576694644,10.0,500.0,Email,48.9133309933156
1883,3691,6.950153,3610.307460826759,78.36804633804991,41.45885936438933,79.29153864231034,387.5565644363586,0.8937231368383306,10.0,2048.0,Email,66.18112442192916
3176,570,1.81032,377.95329057925903,209.57640677082975,15.740782545689873,18.44240193453085,267.4204146664296,0.9192238858605274,0.256,1024.0,Mobile sharing,48.49361256846103
1511,1230,1.85853,1141.4684982761878,35.90086465325604,83.26955674738934,53.76776508701187,1181.0672284294553,0.9436699821016454,10.0,5120.0,Email,72.87579558306578
1542,3707,5.716194,2223.8323167073054,149.6506463233311,93.7719626894115,32.64595844841435,5701.457453449784,0.9478741635586385,1.0,250.0,Mobile sharing,56.95697774223834
3163,2255,7.132565,2218.6008307961724,49.84059468526914,17.3867816079758,31.411249743388836,182.28732733153174,0.846478041213084,5.0,2048.0,Email,54.93203893881967
1786,3058,5.461588,1697.3376135550998,204.10369685236213,62.50644384227581,13.334160023223376,1048.8446971159624,0.8476710298307324,5.0,2048.0,Cloud storage,51.93622996429941
2733,1353,3.697749,515.6528991555268,223.68607056679625,61.77110673073324,13.406617992518077,6286.250288290951,0.9608608480204307,1.0,1024.0,Mobile sharing,57.044546622714684
1238,1383,1.712154,271.88359512660503,147.9678456892642,38.58041545622104,57.416925826148855,5861.903979056078,0.9153142039497164,0.256,250.0,Mobile sharing,54.27674811519795
1463,3420,5.00346,2392.3492405777088,140.17275961702617,46.69332000473992,58.564902615183115,5094.098961272265,0.9107100472511018,1.0,2048.0,Website,60.21176309210193
1089,1909,2.078901,880.0244460542929,37.36927680883051,78.68228450483028,45.658865497771494,2885.331941005928,0.9623450274680636,0.256,2048.0,High-quality archive,83.22258442447954
2217,2087,4.626879,3137.409329377274,68.90393474614788,30.96335943195923,73.43659456573253,6392.450071786422,0.8539435852037282,1.0,1024.0,Mobile sharing,43.83682978260911
3364,3562,11.982568,4146.68791550463,133.23370250139155,74.3373128415788,62.953150085529224,5491.57290368129,0.836738415488764,5.0,2048.0,High-quality archive,69.20651561701692
4558,3500,15.953,2981.9604759427166,73.83549974547154,74.48802920861215,4.897487755719608,6855.611204265593,0.8803431488569089,10.0,2048.0,Cloud storage,63.10860989598634
3292,1820,5.99144,1868.7631997724823,150.6608144906669,61.47914989984406,36.54947816523337,4232.334553280573,0.8948224410602554,10.0,250.0,Email,54.32221229138052
1305,1705,2.225025,455.53371822937896,65.94558510536544,69.76496587149418,30.83717584513002,6686.543823397863,0.8589754792573772,0.256,250.0,Website,46.42014400958883
3087,3571,11.023677,3180.602144856097,73.39673931264082,29.861290789686976,45.80500871205401,3305.495656665058,0.8272276987183081,1.0,250.0,Email,45.59922294509372
2614,1281,3.348534,1381.0651346934967,56.03149406562706,35.19490324396698,27.171463865112504,5365.384690620279,0.9602737275623391,10.0,5120.0,Cloud storage,75.7844509247226
3224,3936,12.689664,8542.802428656732,48.64620669554803,26.023482874224413,27.966255171034696,3892.6428657480074,0.9553275132483428,0.256,2048.0,Email,58.34949005844464
3237,2275,7.364175,2020.402800918912,65.45928474662904,83.15465262358389,50.90668452501989,5159.149521261452,0.867365258065604,10.0,500.0,Mobile sharing,44.156227049963405
910,3136,2.85376,1627.3315354005197,74.29457022766601,90.32310853904792,12.893737670382285,6278.048472844231,0.8623263697842097,0.256,250.0,Cloud storage,44.234835855799616
4293,2742,11.771406,4548.70436363531,81.59920487440984,71.81961610687893,72.80944125098071,6128.297221996224,0.8742915433178498,5.0,1024.0,Email,61.04288620322738
1932,1281,2.474892,549.2152023682428,213.60361205342778,86.03910628844639,66.74341449287076,3647.747572949717,0.9047593065891997,1.0,500.0,Website,63.937777442670296
2868,1700,4.8756,983.0594081961254,215.92744601067983,53.562460766908046,81.16285304222549,1186.8593000852643,0.9087066483263894,10.0,500.0,Mobile sharing,58.387693647000056
4421,508,2.245868,444.2402974287333,209.20119744954718,40.72263931858654,52.86659537699651,3281.8482173254474,0.9051017746153709,1.0,2048.0,High-quality archive,69.48335634357855
1261,913,1.151293,636.3430591559778,124.06426643265097,27.230169770106876,78.49460037843257,2422.640118303007,0.8280170703515094,10.0,500.0,High-quality archive,63.09458721308043
3424,2641,9.042784,5045.674470206672,185.7907229338517,31.956368886443407,78.75023191964078,3094.0277402965894,0.8203694036138787,5.0,1024.0,Website,41.18958321776753
4969,3561,17.694609,6922.296727382312,59.51571086458793,27.18613681260606,54.84719066847723,2780.845371413121,0.9674963920247992,5.0,500.0,Mobile sharing,58.92675073912234
3709,2059,7.636831,3865.551866324014,148.94211777603817,52.82271782071986,80.90500975920385,2431.8598171469434,0.9284950497407725,0.256,5120.0,Email,70.21472348802416
4291,3956,16.975196,10842.36295221684,177.42753759534483,94.34461731981025,46.57593255097399,4636.970245668002,0.8683968449820685,1.0,5120.0,Email,68.38718108387825
3779,3058,11.556182,4157.797755080838,141.74559671196988,72.5826028017237,44.73260044361105,6354.249972021084,0.923531487702932,1.0,1024.0,Website,57.863311145588646
1974,2071,4.088154,824.6215451306222,52.427499021211275,68.39919385174063,56.75245454413029,4657.222513760162,0.8231626312548306,10.0,500.0,Email,55.88088457422086
1147,3201,3.671547,2278.4127419622114,81.86927167296798,68.4279327078389,13.607749883578505,1962.3100529319076,0.8653633226558767,0.256,500.0,Cloud storage,46.27643525310127
3503,3069,10.750707,4719.399649090827,168.26430923625213,91.23379747884526,53.02495959674825,1822.9931706402958,0.9200765051062297,0.256,500.0,Website,58.68436476015243
2789,1838,5.126182,2669.1711893456986,39.41324064588411,47.00491569078043,74.75882429244595,4291.080738811059,0.9697499999097161,1.0,5120.0,Website,72.5770695253406
4328,3483,15.074424,6168.451677438749,155.11847502182383,41.72890135670045,23.024810062802835,6393.0692550259755,0.967819919919761,1.0,5120.0,Email,75.62425221131798
496,3081,1.528176,864.7341608047285,179.89211747290173,53.44861047538452,40.42907995017028,1719.572619235572,0.8662912217763735,5.0,500.0,Cloud storage,61.00224880066981
1585,1705,2.702425,688.4380854824453,190.05064318303792,83.84559354355008,16.751360613578036,102.17387795999909,0.8737807949646997,1.0,2048.0,Email,59.17396062899333
1478,897,1.325766,757.5048599096739,56.98379178879159,46.20500721252234,84.8859802309771,1388.5062214548232,0.887648053207487,0.256,1024.0,High-quality archive,70.11854870325695
3250,1442,4.6865,795.2763807297754,61.21952829610201,78.25903791167951,25.19183648621056,6199.700963569207,0.9261525211566538,1.0,250.0,High-quality archive,75.05867792992024
3047,1034,3.150598,1170.108073787549,139.91513642627268,55.061291926422264,59.26535908044234,4586.172807341324,0.97990750547587,10.0,250.0,Mobile sharing,64.13412390200446
2775,2860,7.9365,5449.982840356597,95.48201364951386,51.89671086700591,37.83170783486739,407.36312417065903,0.9275623089957511,10.0,500.0,Cloud storage,65.66036376878668
3533,3395,11.994535,7173.949955367471,114.16653962757722,40.723654579271965,64.40330393269849,5619.656565206925,0.9628849631258085,1.0,500.0,Mobile sharing,60.825294485458286
1061,3696,3.921456,852.954120380093,136.42960252205245,20.4014784149932,7.330182314809049,53.605271951653364,0.889810665551082,10.0,2048.0,Mobile sharing,43.85036287096566
1955,2748,5.37234,3219.0124930951756,66.92016122979551,26.74909878571234,73.58567983688395,5770.716039153159,0.9510719806870368,5.0,250.0,Email,66.09621465457526
826,2364,1.952664,540.3951084397795,177.94249374237504,55.33428835126511,64.52181101175512,3279.5234831084404,0.8788646944354908,1.0,500.0,Cloud storage,64.65443892944369
3383,3105,10.504215,2077.512071039923,51.33664652107957,29.103309201770415,17.378413939221595,5770.5979785079535,0.9784621531776772,1.0,5120.0,Mobile sharing,62.204189455238186
1031,1046,1.078426,381.72329124494973,201.26599782027563,93.04765166627197,74.57443461948266,1386.4897192941746,0.8553276673934294,1.0,2048.0,Email,59.705040816731064
1558,3045,4.74411,2148.41656801615,139.67266601317655,81.28375398710287,61.26368728289958,234.7154667311773,0.9162493523929625,0.256,500.0,Email,57.85434293322798
2636,1438,3.790568,2130.332882603391,192.0561820850067,59.897845431203535,34.600297430282446,1931.3424923909938,0.9035069553230806,0.256,500.0,Email,52.5105713902974
3341,2835,9.471735,1588.0798716574402,35.20281835432198,31.982171107259436,76.34994281294004,4541.720804438486,0.962442233891779,0.256,250.0,Cloud storage,72.2657357415095
2561,3425,8.771425,1437.7015936210244,75.88387217945652,61.861706012377795,19.029893785724337,4772.712714002257,0.8542547662938752,10.0,250.0,High-quality archive,54.892845810286005
881,1921,1.692401,389.92721118552714,60.591484735435984,83.82255089751527,29.272570694979244,2557.2728713018623,0.8771791397603286,0.256,500.0,Website,51.9740615423767
1618,1907,3.085526,1963.5309606684893,211.63665797471546,22.986484574143216,11.807042415663332,851.5187448713664,0.9191310810096499,1.0,250.0,Website,50.65944219882725
4828,3115,15.03922,8982.79149288456,134.95150010834396,94.73417692153228,6.622358441421224,2838.7915010934876,0.9717832797940226,1.0,250.0,Mobile sharing,58.90789517309913
3053,3729,11.384637,7830.597665943989,129.7415139064999,54.493766101651666,82.6125477407505,2696.089910459158,0.8836040039287988,10.0,1024.0,Mobile sharing,48.593478868904974
3411,1555,5.304105,1273.6680706000125,54.62386103033943,84.29156850648161,51.32515562245304,2542.775901118983,0.8890430405899767,1.0,5120.0,Cloud storage,67.51365327363935
3312,3287,10.886544,3844.5876766603697,97.55986732357621,51.0837200148204,49.57060689513639,3259.6344845757503,0.9254005455706721,1.0,1024.0,High-quality archive,80.98377405671489
4863,1644,7.994772,2764.5752799091565,52.981555967383855,28.28501059311785,62.29533177592166,2754.2221450784564,0.9100275856919772,0.256,2048.0,High-quality archive,75.08623862141985
3875,2294,8.88925,5855.151366850524,148.50496052402974,68.51581271932636,7.311231206490541,6621.3632426022505,0.882797557482391,0.256,5120.0,High-quality archive,64.01764222986154
4902,416,2.039232,309.8999246676673,164.27957307728516,60.01344110655465,5.175659850898096,5217.046730495578,0.8994267971902893,10.0,500.0,Mobile sharing,47.288790148382375
2542,2444,6.212648,1978.7790710636932,201.96508775868253,44.844847004644244,49.336388671717856,1928.8754279853263,0.845694130013587,1.0,2048.0,Cloud storage,54.194085326414445
1388,2331,3.235428,2201.0199102986576,218.0801833222092,83.45136973619228,18.38396200673275,4180.195225395981,0.87991422983183,10.0,250.0,High-quality archive,62.77775753003899
865,2219,1.919435,867.0161367223753,221.60741630039044,63.576914439525765,37.84830962462031,2621.391356538025,0.8868190868246473,0.256,250.0,Email,57.60806326748499
1417,3415,4.839055,1413.5187743445824,92.72135749788939,84.94674050678506,4.965569153292347,3667.1792341822324,0.9304202831325535,1.0,1024.0,Email,63.47943768826137
1151,808,0.930008,448.8845652471157,42.618051875827426,51.93817577476075,45.82457330655451,1539.5684998421568,0.8423397846686592,5.0,250.0,Website,44.30801260014475
1254,748,0.937992,628.4286422065219,111.94887168420529,79.71756820053992,82.90220409492542,611.1101960190368,0.9594254538785942,5.0,5120.0,Email,75.58840286831922
3317,881,2.922277,439.69270867580826,136.57414274496233,94.4834397429478,81.6140171296986,330.7746404530341,0.932927520580718,5.0,500.0,Email,73.83165149862047
2188,562,1.229656,815.8131067260463,194.12039131967762,24.40035058020812,7.905595660018534,5851.218267072204,0.9055837044761392,0.256,250.0,High-quality archive,63.44131299372563
4612,2948,13.596176,5216.297344633704,46.99226243373549,92.5001857089279,28.47364317664879,1366.076267126334,0.8657675682944632,0.256,5120.0,Website,55.203196934744
3500,3522,12.327,6576.0972611833895,192.70364404021535,93.07180322943171,72.0566817523835,6606.507341381078,0.9473261704267152,0.256,500.0,Cloud storage,72.04442397982906
2910,3875,11.27625,7712.145101708537,168.91928137820437,53.635071157742715,40.42511634795132,2735.0731277011137,0.877855844731626,0.256,500.0,High-quality archive,63.9962535002456
3729,678,2.528262,1452.5517759887302,119.75384965484297,89.45475908356964,53.2021227047041,294.47307618171726,0.8529311668820811,0.256,500.0,Website,51.23689983333335
4888,1780,8.70064,5773.926121348395,220.6666186837279,33.90883483068357,7.027646787503291,1117.5327361374216,0.8301325565924093,0.256,250.0,Email,35.93879699795751
2075,3684,7.6443,3334.556518196047,153.93801577282534,31.14938012876329,68.64785689525571,4343.632914113803,0.9718148971209255,10.0,250.0,Cloud storage,72.91924095501993
2000,2098,4.196,1592.6744294582134,214.68179384664992,45.26478578987322,66.20340352056034,3806.313010586747,0.8492494032689561,5.0,500.0,Website,53.642295897709715
1201,2822,3.389222,1280.4923202018,78.44266450580179,72.75254236101411,16.847589412242613,6559.8543584626295,0.8371699780532033,0.256,1024.0,Cloud storage,49.91853027752077
2689,513,1.379457,522.6769041593059,224.01482963762558,53.902449013646546,42.19161962066614,2981.274135866201,0.830692120752234,5.0,1024.0,Email,53.364586321351965
3710,2695,9.99845,1589.5043217426883,221.46354923807033,52.52040632101377,76.53394047043727,3355.1501539688966,0.9515541673750091,0.256,2048.0,Cloud storage,76.64528835257802
3381,3652,12.347412,6094.978212356614,197.68351072135542,65.485235429751,31.50923805654407,4654.580680845089,0.9274966701782508,10.0,5120.0,Email,67.55135599795993
3155,1930,6.08915,3610.3184615939435,131.09483980112083,73.92584744925864,40.69617608519455,1547.6912355982681,0.8409848270695536,5.0,500.0,Email,46.38835350295709
1313,808,1.060904,678.948956019879,86.79143450901942,23.857940688044348,81.39582608085558,1123.24046175389,0.8516267171607422,1.0,500.0,Cloud storage,61.19490649506478
1269,3578,4.540482,2558.6126100346346,169.5499352301007,29.014445428480293,32.32997578512989,3374.9142363024116,0.8637487523402676,0.256,500.0,High-quality archive,54.03135589634892
1818,2945,5.35401,2847.6162682493214,48.28700998060363,53.48984814105198,67.14131801195919,5248.531396219506,0.9504116953950006,0.256,1024.0,Email,70.17208449178165
1673,1266,2.118018,710.9382002932698,68.50755951938226,52.398763154285746,35.14892183806634,1724.4434590794697,0.8702154835378634,10.0,250.0,High-quality archive,68.22436411936484
1654,451,0.745954,225.79269574162944,105.16183985478403,33.87978100964421,65.57875016523184,6513.523264115285,0.899669096446222,5.0,2048.0,Email,59.687033047460964
3268,3995,13.05566,6262.857498545891,204.05809864257506,87.68865972445136,67.89902200022503,3253.473167958116,0.8225288888704214,0.256,1024.0,Cloud storage,51.61126974438168
2595,2170,5.63115,2555.7277807278892,139.91091362784113,81.92904328261544,11.909882467505518,1614.984779433541,0.9468807966335409,0.256,5120.0,Email,62.553228412480905
3472,3542,12.297824,7836.69529904766,94.72610909968192,47.13293072075011,24.982978595285186,4263.780817439373,0.8751425418418588,10.0,5120.0,Cloud storage,63.77362167626277
2962,1175,3.48035,839.6544564614842,46.00961546224469,90.94348184074059,36.036127897625626,5847.140199414652,0.9290127156303506,5.0,250.0,Mobile sharing,60.43766976639187
